CustomerID,Last_Order_Date,Recency,Frequency,Monetary,r_rank,f_rank,m_rank,r_score,f_score,m_score
CUST0256,7/16/2025,233,1,4.12,227,270,287,3,1,1
CUST0197,6/27/2025,252,1,4.26,238,263,286,2,1,1
CUST0272,11/4/2025,122,1,4.37,120,260,285,6,1,1
CUST0116,6/20/2025,259,1,4.38,244,259,284,2,1,1
CUST0028,7/8/2025,241,1,4.86,232,265,283,2,1,1
CUST0279,11/27/2025,99,1,5.19,90,266,282,7,1,1
CUST0205,6/29/2025,250,1,5.19,237,264,281,2,1,1
CUST0283,9/22/2025,165,1,5.6,177,281,280,4,1,1
CUST0033,10/4/2025,153,1,5.71,168,278,279,5,1,1
CUST0109,12/6/2025,90,1,8.01,73,268,278,8,1,1
CUST0203,2/16/2025,383,1,8.8,284,284,277,1,1,1
CUST0031,1/31/2025,399,1,9.42,287,287,276,1,1,1
CUST0184,5/31/2025,279,2,9.69,253,253,275,2,2,1
CUST0232,12/7/2025,89,2,9.94,71,238,274,8,2,1
CUST0167,2/25/2025,374,1,10.17,280,280,273,1,1,1
CUST0044,12/20/2025,76,2,10.38,39,228,272,9,3,1
CUST0056,10/5/2025,152,1,10.48,166,275,271,5,1,1
CUST0280,4/18/2025,322,2,11.09,269,229,270,1,3,1
CUST0112,7/12/2025,237,1,11.81,230,267,269,2,1,1
CUST0094,3/10/2025,361,1,11.82,279,279,268,1,1,1
CUST0255,2/20/2025,379,1,11.89,283,283,267,1,1,1
CUST0247,8/31/2025,187,2,11.96,196,196,266,4,4,1
CUST0180,12/5/2025,91,1,12.12,76,286,265,8,1,1
CUST0043,3/24/2025,347,1,12.17,276,276,264,1,1,1
CUST0258,2/21/2025,378,1,12.22,282,282,263,1,1,1
CUST0240,10/13/2025,144,1,12.43,154,274,262,5,1,1
CUST0071,10/15/2025,142,1,13.79,152,273,261,5,1,1
CUST0053,10/11/2025,146,2,13.86,157,206,260,5,3,1
CUST0054,7/29/2025,220,2,14.21,221,221,259,3,3,1
CUST0032,6/18/2025,261,1,14.27,245,258,258,2,2,2
CUST0162,6/20/2025,259,2,14.67,242,242,257,2,2,2
CUST0286,10/10/2025,147,2,15.41,158,203,256,5,3,2
CUST0138,5/7/2025,303,1,15.44,262,262,255,1,1,2
CUST0034,12/27/2025,69,2,15.89,11,204,254,10,3,2
CUST0144,8/8/2025,210,2,16.04,211,211,253,3,3,2
CUST0191,8/28/2025,190,1,16.14,199,277,252,4,1,2
CUST0024,8/18/2025,200,2,16.66,205,205,251,3,3,2
CUST0189,2/15/2025,384,1,17.08,285,285,250,1,1,2
CUST0186,4/13/2025,327,2,17.36,271,214,249,1,3,2
CUST0100,12/3/2025,93,2,18.39,82,207,248,8,3,2
CUST0105,11/5/2025,121,2,19.49,119,246,247,6,2,2
CUST0194,3/22/2025,349,2,19.81,277,199,246,1,4,2
