CustomerID,Recency,Frequency,Monetary,r_score,f_score,m_score,Total_score,rfm_segment
CUST0012,65,9,187.09,10,10,10,30,Champions
CUST0224,90,6,116.16,8,9,9,26,Loyal VIPs
CUST0143,115,6,170.41,6,9,10,25,Loyal VIPs
CUST0181,115,4,34.24,7,7,3,17,Promising
CUST0107,253,3,29.13,2,4,3,9,Require Attention
CUST0073,66,5,142.38,10,9,10,29,Champions
CUST0148,69,5,90.62,10,9,9,28,Champions
CUST0120,74,5,88.56,9,9,8,26,Loyal VIPs
CUST0051,125,3,86.68,6,5,8,19,Promising
CUST0214,88,4,29.38,8,7,3,18,Promising
CUST0300,241,2,48.06,2,2,5,9,Require Attention
CUST0144,210,2,16.04,3,2,2,7,AT Risk
CUST0288,106,7,88.53,7,10,8,25,Loyal VIPs
CUST0150,89,3,90.49,8,6,8,22,Potential Loyalists
CUST0220,91,3,73.26,8,6,8,22,Potential Loyalists
CUST0257,152,5,84.58,5,8,8,21,Potential Loyalists
CUST0036,142,3,72.06,5,5,7,17,Promising
CUST0276,341,2,48.74,1,2,5,8,Require Attention
CUST0069,71,5,56.24,10,9,6,25,Loyal VIPs
CUST0210,75,4,47.96,9,8,5,22,Potential Loyalists
CUST0078,133,3,70.13,6,5,7,18,Promising
CUST0235,125,2,54.57,6,3,6,15,Engaged
CUST0273,319,3,55.45,1,4,6,11,Require Attention
CUST0236,67,5,70.13,10,9,7,26,Loyal VIPs
CUST0103,91,2,22.2,8,4,2,14,Engaged
CUST0286,147,2,15.41,5,3,2,10,Require Attention
CUST0270,108,4,83.37,7,7,8,22,Potential Loyalists
CUST0199,180,4,41.64,4,7,4,15,Engaged
CUST0085,112,2,41.95,7,3,4,14,Engaged
CUST0193,259,4,58.1,2,6,6,14,Engaged
CUST0058,262,2,83.66,2,2,8,12,Engaged
CUST0251,119,7,123.67,6,10,10,26,Loyal VIPs
CUST0158,181,5,77.51,4,8,8,20,Potential Loyalists
CUST0176,167,4,107.85,4,7,9,20,Potential Loyalists
CUST0118,96,4,46.04,7,7,4,18,Promising
CUST0127,94,2,23.58,7,3,2,12,Engaged
CUST0053,146,2,13.86,5,3,1,9,Require Attention
CUST0260,213,1,33.6,3,1,3,7,AT Risk
CUST0054,220,2,14.21,3,2,1,6,AT Risk
CUST0282,152,6,70.48,5,9,7,21,Potential Loyalists
CUST0266,219,4,37.73,3,6,4,13,Engaged
CUST0209,272,3,41,2,4,4,10,Require Attention
CUST0090,73,5,49.97,10,9,5,24,Loyal VIPs
CUST0152,209,6,92.44,3,9,9,21,Potential Loyalists
CUST0049,65,4,32.14,10,8,3,21,Potential Loyalists
CUST0061,81,3,46.61,9,6,5,20,Potential Loyalists
CUST0173,154,4,52.51,5,7,5,17,Promising
CUST0182,235,3,33.46,3,4,3,10,Require Attention
CUST0031,399,1,9.42,1,1,1,3,Lost/Inactive
CUST0291,78,6,125.53,9,10,10,29,Champions
CUST0147,80,5,98.48,9,9,9,27,Loyal VIPs
CUST0245,74,3,70.49,9,6,7,22,Potential Loyalists
CUST0004,177,4,123.07,4,7,10,21,Potential Loyalists
CUST0021,114,3,57.05,7,5,6,18,Promising
CUST0195,135,4,52.35,5,7,5,17,Promising
CUST0056,152,1,10.48,5,1,1,7,AT Risk
CUST0028,241,1,4.86,2,1,1,4,AT Risk
CUST0177,65,5,122.91,10,9,10,29,Champions
CUST0175,157,5,74.77,4,8,8,20,Potential Loyalists
CUST0247,187,2,11.96,4,3,1,8,Require Attention
CUST0215,69,6,123.08,10,10,10,30,Champions
CUST0092,65,5,113.27,10,9,9,28,Champions
CUST0261,74,6,60.89,9,10,6,25,Loyal VIPs
CUST0293,143,12,190.97,5,10,10,25,Loyal VIPs
CUST0159,123,5,85.34,6,8,8,22,Potential Loyalists
CUST0081,73,3,52.34,10,6,5,21,Potential Loyalists
CUST0298,174,2,28.03,4,3,3,10,Require Attention
CUST0238,295,1,34.88,2,1,4,7,AT Risk
CUST0017,73,6,90.01,10,10,8,28,Champions
CUST0267,88,6,140.89,8,9,10,27,Loyal VIPs
CUST0089,76,6,60.04,9,10,6,25,Loyal VIPs
CUST0111,99,5,108.18,7,8,9,24,Loyal VIPs
CUST0035,74,3,58.38,10,6,6,22,Potential Loyalists
CUST0169,84,2,53.61,8,4,5,17,Promising
CUST0086,166,4,30.27,4,7,3,14,Engaged
CUST0003,80,4,75.75,9,8,8,25,Loyal VIPs
CUST0192,173,3,33.65,4,5,3,12,Engaged
CUST0259,374,2,59.36,1,2,6,9,Require Attention
CUST0272,122,1,4.37,6,1,1,8,Require Attention
CUST0283,165,1,5.6,4,1,1,6,AT Risk
CUST0196,275,2,23.36,2,2,2,6,AT Risk
CUST0184,279,2,9.69,2,2,1,5,AT Risk
CUST0005,105,4,63.34,7,7,7,21,Potential Loyalists
CUST0137,133,4,34.4,6,7,3,16,Promising
CUST0156,391,3,72.32,1,4,8,13,Engaged
CUST0171,204,3,37.59,3,5,4,12,Engaged
CUST0151,289,2,21.74,2,2,2,6,AT Risk
CUST0084,82,8,123.51,9,10,10,29,Champions
CUST0011,94,6,128.11,8,9,10,27,Loyal VIPs
CUST0095,86,3,31.41,8,6,3,17,Promising
CUST0221,99,2,30.95,7,3,3,13,Engaged
CUST0071,142,1,13.79,5,1,1,7,AT Risk
CUST0097,301,2,32.73,1,2,3,6,AT Risk
CUST0188,167,5,60.47,4,8,6,18,Promising
CUST0222,128,4,30.69,6,7,3,16,Promising
CUST0292,191,3,69.42,3,5,7,15,Engaged
CUST0088,83,2,21.91,8,4,2,14,Engaged
CUST0130,73,6,70.78,10,10,7,27,Loyal VIPs
CUST0098,127,6,122.55,6,9,10,25,Loyal VIPs
CUST0008,122,4,106.62,6,7,9,22,Potential Loyalists
CUST0093,124,4,64.37,6,7,7,20,Potential Loyalists
CUST0133,164,4,57.97,4,7,6,17,Promising
CUST0205,250,1,5.19,2,1,1,4,AT Risk
CUST0255,379,1,11.89,1,1,1,3,Lost/Inactive
CUST0094,361,1,11.82,1,1,1,3,Lost/Inactive
CUST0167,374,1,10.17,1,1,1,3,Lost/Inactive
CUST0172,106,3,61.62,7,5,7,19,Promising
CUST0041,319,4,63.98,1,6,7,14,Engaged
CUST0225,227,3,24.72,3,4,3,10,Require Attention
CUST0024,200,2,16.66,3,3,2,8,Require Attention
CUST0256,233,1,4.12,3,1,1,5,AT Risk
CUST0117,102,7,150.87,7,10,10,27,Loyal VIPs
CUST0153,88,6,92.68,8,9,9,26,Loyal VIPs
CUST0233,107,3,61.04,7,5,6,18,Promising
CUST0229,190,4,70.73,4,7,7,18,Promising
CUST0066,134,2,56.19,6,3,6,15,Engaged
CUST0155,239,2,33.09,2,2,3,7,AT Risk
CUST0025,81,6,109.94,9,10,9,28,Champions
CUST0026,102,4,95.76,7,7,9,23,Potential Loyalists
CUST0062,69,3,51.04,10,6,5,21,Potential Loyalists
CUST0076,198,5,75.69,3,8,8,19,Promising
CUST0183,206,2,76.81,3,3,8,14,Engaged
CUST0234,215,2,22.16,3,2,2,7,AT Risk
CUST0029,75,6,130.92,9,10,10,29,Champions
CUST0040,76,6,101.46,9,10,9,28,Champions
